"state_dist","state_id","district","state","name","party","incumbent","first_name","last_name","unique_cand_id"
"CA23","CA",23,"California","Kevin McCarthy","R",TRUE,"Kevin","McCarthy","CA23_R_McCarthy"
"CA24","CA",24,"California","Lois Capps","D",TRUE,"Lois","Capps","CA24_D_Capps"
"CA24","CA",24,"California","Abel Maldonado","R",FALSE,"Abel","Maldonado","CA24_R_Maldonado"
"CA25","CA",25,"California","Lee Rogers","D",FALSE,"Lee","Rogers","CA25_D_Rogers"
"CA25","CA",25,"California","Buck McKeon","R",TRUE,"Buck","Mckeon","CA25_R_Mckeon"
"CA26","CA",26,"California","Julia Brownley","D",FALSE,"Julia","Brownley","CA26_D_Brownley"
"CA26","CA",26,"California","Tony Strickland","R",FALSE,"Tony","Strickland","CA26_R_Strickland"
"CA27","CA",27,"California","Judy Chu","D",TRUE,"Judy","Chu","CA27_D_Chu"
"CA27","CA",27,"California","Jack Orswell","R",FALSE,"Jack","Orswell","CA27_R_Orswell"
"CA28","CA",28,"California","Adam Schiff","D",TRUE,"Adam","Schiff","CA28_D_Schiff"
"CA28","CA",28,"California","Phil Jennerjahn","R",FALSE,"Phil","Jennerjahn","CA28_R_Jennerjahn"
"CA29","CA",29,"California","Tony Cardenas","D",FALSE,"Tony","Cardenas","CA29_D_Cardenas"
"CA29","CA",29,"California","David Hernandez","R",FALSE,"David","Hernandez","CA29_R_Hernandez"
"CA30","CA",30,"California","Howard Berman","D",TRUE,"Howard","Berman","CA30_D_Berman"
"CA30","CA",30,"California","Brad Sherman","D",TRUE,"Brad","Sherman","CA30_D_Sherman"
"CA31","CA",31,"California","Gary Miller","R",TRUE,"Gary","Miller","CA31_R_Miller"
"CA31","CA",31,"California","Bob Dutton","R",FALSE,"Bob","Dutton","CA31_R_Dutton"
"CA32","CA",32,"California","Grace Napolitano","D",TRUE,"Grace","Napolitano","CA32_D_Napolitano"
"CA32","CA",32,"California","David Miller","R",FALSE,"David","Miller","CA32_R_Miller"
"CA33","CA",33,"California","Henry Waxman","D",TRUE,"Henry","Waxman","CA33_D_Waxman"
"CA34","CA",34,"California","Xavier Becerra","D",TRUE,"Xavier","Becerra","CA34_D_Becerra"
"CA34","CA",34,"California","Stephen Smith","R",FALSE,"Stephen","Smith","CA34_R_Smith"
"CA35","CA",35,"California","Joe Baca","D",TRUE,"Joe","Baca","CA35_D_Baca"
"CA35","CA",35,"California","Gloria McLeod","D",FALSE,"Gloria","McLeod","CA35_D_McLeod"
"CA36","CA",36,"California","Raul Ruiz","D",FALSE,"Raul","Ruiz","CA36_D_Ruiz"
"CA36","CA",36,"California","Mary Bono Mack","R",TRUE,"Bono","Mack","CA36_R_Mack"
"CA37","CA",37,"California","Karen Bass","D",TRUE,"Karen","Bass","CA37_D_Bass"
"CA38","CA",38,"California","Linda Sanchez","D",TRUE,"Linda","Sanchez","CA38_D_Sanchez"
"CA38","CA",38,"California","Benjamin Campos","R",FALSE,"Benjamin","Campos","CA38_R_Campos"
"CA39","CA",39,"California","Jay Chen","D",FALSE,"Jay","Chen","CA39_D_Chen"
"CA39","CA",39,"California","Ed Royce","R",TRUE,"Ed","Royce","CA39_R_Royce"
"CA40","CA",40,"California","Lucille Roybal-Allard","D",TRUE,"Lucille","Roybal-Allard","CA40_D_Roybal-Allard"
"CA40","CA",40,"California","David Sanchez","D",FALSE,"David","Sanchez","CA40_D_Sanchez"
"CA41","CA",41,"California","Mark Takano","D",FALSE,"Mark","Takano","CA41_D_Takano"
"CA41","CA",41,"California","John Tavaglione","R",FALSE,"John","Tavaglione","CA41_R_Tavaglione"
"CA42","CA",42,"California","Michael Williamson","D",FALSE,"Michael","Williamson","CA42_D_Williamson"
"CA42","CA",42,"California","Ken Calvert","R",TRUE,"Ken","Calvert","CA42_R_Calvert"
